#name	length
76_LNODE_1_length_1011	2022
78_LNODE_1_length_31349	63742
291_RNODE_3_length_66459	132918
81_LNODE_1_length_2439	4878
82_LNODE_1_length_31963	63926
85_LNODE_1_length_29623	59246
88_LNODE_1_length_1233	2466
264_RNODE_7_length_2619	5238
270_RNODE_4_length_1065	2130
291_RNODE_22_length_56982	113964
297_RNODE_2_length_56859	113718
94_LNODE_1_length_975	1982
291_NODE_1_length_29302	59580
293_RNODE_2_length_28966	57932
96_LNODE_1_length_1260	2520
97_LNODE_1_length_1426	2852
98_LNODE_1_length_1733	3466
99_LNODE_1_length_2476	4952
100_LNODE_1_length_6193	12386
101_LNODE_1_length_35176	70352
291_RNODE_11_length_104062	208124
297_RNODE_18_length_68502	137004
103_LNODE_1_length_6894	13788
104_LNODE_1_length_59675	119350
105_LNODE_1_length_1212	2424
106_LNODE_1_length_5651	11302
107_LNODE_1_length_3792	7584
108_LNODE_1_length_1838	3676
109_LNODE_1_length_1955	3910
110_LNODE_1_length_1134	2268
111_LNODE_1_length_1734	3468
112_LNODE_1_length_2248	4496
113_LNODE_1_length_37794	75588
114_LNODE_1_length_2142	4284
115_LNODE_1_length_4936	9872
116_LNODE_1_length_1178	2356
117_LNODE_1_length_3003	6006
118_LNODE_1_length_2334	4668
119_LNODE_1_length_2373	4746
120_LNODE_1_length_1659	3318
121_LNODE_1_length_2332	4664
122_LNODE_1_length_1493	2986
123_LNODE_1_length_2118	4236
124_LNODE_1_length_1128	2256
125_LNODE_1_length_2038	4076
126_LNODE_1_length_2177	4354
267_RNODE_9_length_1244	2488
287_RNODE_14_length_32330	64660
288_RNODE_10_length_52816	105632
294_RNODE_12_length_52915	105830
278_RNODE_7_length_5041	10082
283_RNODE_7_length_4948	9896
290_RNODE_9_length_1023	2046
296_RNODE_18_length_1243	2486
263_RNODE_2_length_3087	6174
294_RNODE_9_length_3656	7312
291_RNODE_21_length_1068	2136
293_RNODE_7_length_1071	2142
296_NODE_1_length_1101	2238
297_RNODE_8_length_1173	2346
292_NODE_5_length_1293	2628
288_RNODE_1_length_2493	4986
288_RNODE_23_length_2303	4606
277_RNODE_5_length_3912	7824
302_RNODE_18_length_1999	3998
272_RNODE_2_length_1179	2358
288_RNODE_20_length_31311	62622
266_RNODE_18_length_4493	8986
271_RNODE_7_length_2491	4982
287_RNODE_10_length_7154	14308
287_RNODE_32_length_6572	13144
287_RNODE_28_length_31095	62190
285_RNODE_1_length_12329	24658
297_RNODE_13_length_755597	1511194
259_NODE_2_length_1126	2288
275_RNODE_1_length_1427	2854
287_RNODE_16_length_3575	7150
288_RNODE_6_length_3653	7306
267_RNODE_4_length_1668	3336
273_RNODE_7_length_2397	4794
287_RNODE_22_length_3248	6496
287_RNODE_6_length_1955	3910
278_RNODE_4_length_3289	6578
285_RNODE_16_length_58333	116666
287_RNODE_20_length_31728	63456
271_RNODE_12_length_3112	6224
284_RNODE_13_length_5187	10374
265_RNODE_3_length_1035	2070
299_RNODE_1_length_2391	4782
260_RNODE_1_length_62428	124856
289_RNODE_2_length_28648	57296
297_RNODE_14_length_50699	101398
291_RNODE_30_length_59530	119060
301_RNODE_4_length_1233	2466
301_RNODE_3_length_32690	65380
301_RNODE_1_length_2311	4622
300_RNODE_9_length_1218	2436
300_RNODE_3_length_2337	4674
300_RNODE_1_length_1435	2870
300_RNODE_18_length_2358	4716
300_RNODE_15_length_1109	2218
300_RNODE_11_length_1310	2620
300_RNODE_12_length_1452	2904
297_RNODE_15_length_6231	12462
297_NODE_1_length_26932	54760
296_RNODE_8_length_1214	2428
296_RNODE_6_length_2321	4642
296_RNODE_5_length_4520	9040
296_RNODE_2_length_3625	7250
296_RNODE_19_length_48402	96804
296_RNODE_13_length_1528	3056
296_RNODE_14_length_1050	2100
300_RNODE_10_length_2545	5090
299_RNODE_12_length_2028	4056
299_NODE_4_length_4062	8258
299_NODE_3_length_19959	40582
299_NODE_2_length_29105	59336
298_RNODE_5_length_6614	13228
298_RNODE_9_length_1202	2404
259_RNODE_8_length_1824	3648
259_RNODE_7_length_3008	6016
259_RNODE_6_length_2874	5748
259_RNODE_5_length_2353	4706
259_RNODE_4_length_3243	6486
259_RNODE_2_length_1739	3478
258_RNODE_2_length_3153	6306
258_RNODE_3_length_2301	4602
302_RNODE_4_length_1290	2580
302_RNODE_3_length_1669	3338
302_RNODE_14_length_3748	7496
302_RNODE_13_length_4068	8136
301_RNODE_7_length_2310	4620
301_RNODE_5_length_1089	2178
301_RNODE_6_length_3728	7456
296_RNODE_11_length_1472	2944
295_RNODE_9_length_1479	2958
295_RNODE_8_length_1165	2330
295_RNODE_7_length_1959	3918
295_RNODE_5_length_2264	4528
295_RNODE_3_length_1004	2008
295_RNODE_2_length_1555	3110
295_RNODE_13_length_1731	3462
295_RNODE_1_length_1699	3398
295_RNODE_12_length_3525	7050
294_RNODE_2_length_3739	7478
294_RNODE_13_length_6372	12744
293_RNODE_9_length_30846	61692
293_RNODE_5_length_1384	2768
293_RNODE_20_length_37280	74560
293_RNODE_14_length_1157	2314
292_RNODE_28_length_3817	7634
292_RNODE_25_length_2800	5600
292_RNODE_22_length_5159	10318
292_RNODE_1_length_6878	13756
292_RNODE_15_length_1017	2034
292_RNODE_16_length_1482	2964
292_NODE_6_length_1253	2546
291_RNODE_8_length_33199	66398
291_RNODE_6_length_1329	2658
291_RNODE_28_length_55192	110384
291_RNODE_26_length_4392	8784
291_RNODE_25_length_6569	13138
291_RNODE_23_length_1383	2766
291_RNODE_17_length_1401	2802
291_RNODE_12_length_1279	2558
291_RNODE_16_length_3006	6012
290_RNODE_7_length_2220	4440
290_RNODE_6_length_65206	130412
290_RNODE_2_length_5070	10140
290_RNODE_10_length_2172	4344
289_RNODE_7_length_1575	3150
289_RNODE_8_length_1217	2434
289_RNODE_5_length_1234	2468
289_RNODE_4_length_1152	2304
289_RNODE_3_length_1752	3504
289_RNODE_13_length_1789	3578
289_RNODE_12_length_1407	2814
289_RNODE_10_length_1050	2100
289_NODE_3_length_4444	9036
288_RNODE_8_length_1065	2130
288_RNODE_19_length_1113	2226
288_RNODE_5_length_2023	4046
288_RNODE_17_length_1209	2418
288_RNODE_14_length_3217	6434
288_RNODE_13_length_1671	3342
287_RNODE_4_length_4324	8648
287_RNODE_30_length_28063	56126
287_RNODE_24_length_42733	85466
287_RNODE_18_length_145069	290138
287_RNODE_19_length_8486	16972
287_RNODE_17_length_1007	2014
286_RNODE_6_length_1109	2218
286_RNODE_15_length_57935	115870
286_RNODE_11_length_1169	2338
285_RNODE_14_length_2634	5268
285_RNODE_10_length_6949	13898
284_RNODE_6_length_2582	5164
284_RNODE_15_length_1183	2366
284_RNODE_14_length_1034	2068
284_RNODE_12_length_1001	2002
284_RNODE_11_length_1277	2554
283_RNODE_9_length_2029	4058
283_RNODE_8_length_1449	2898
283_RNODE_6_length_1329	2658
283_RNODE_3_length_1131	2262
283_RNODE_5_length_1224	2448
282_RNODE_3_length_1161	2322
282_RNODE_1_length_1563	3126
281_RNODE_5_length_4786	9572
281_RNODE_3_length_2264	4528
281_RNODE_2_length_2408	4816
281_RNODE_1_length_1001	2002
281_RNODE_10_length_143244	286488
279_RNODE_4_length_1070	2140
279_RNODE_3_length_1837	3674
278_RNODE_6_length_1701	3402
278_RNODE_2_length_1484	2968
278_RNODE_1_length_1540	3080
278_RNODE_14_length_3322	6644
278_RNODE_12_length_14603	29206
278_RNODE_13_length_6693	13386
278_RNODE_11_length_1011	2022
277_RNODE_3_length_2102	4204
277_RNODE_2_length_1842	3684
277_RNODE_10_length_1689	3378
276_RNODE_2_length_2476	4952
275_RNODE_2_length_1151	2302
273_RNODE_4_length_1919	3838
274_RNODE_5_length_1150	2300
273_RNODE_3_length_1080	2160
273_RNODE_1_length_1377	2754
272_RNODE_6_length_1722	3444
272_RNODE_4_length_3393	6786
272_RNODE_12_length_1017	2034
272_RNODE_10_length_52560	105120
271_RNODE_8_length_1686	3372
271_RNODE_10_length_1521	3042
271_RNODE_4_length_1158	2316
271_NODE_1_length_1064	2162
270_RNODE_6_length_1348	2696
270_RNODE_5_length_1212	2424
270_RNODE_1_length_2691	5382
269_RNODE_2_length_1029	2058
269_RNODE_1_length_1919	3838
267_RNODE_8_length_1944	3888
267_RNODE_3_length_6305	12610
267_RNODE_6_length_2796	5592
267_RNODE_1_length_1074	2148
267_RNODE_11_length_54952	109904
267_RNODE_10_length_1981	3962
267_NODE_1_length_1158	2354
266_RNODE_9_length_1083	2166
266_RNODE_8_length_2636	5272
266_RNODE_4_length_11633	23266
266_RNODE_5_length_1020	2040
265_RNODE_1_length_1099	2198
264_RNODE_5_length_1468	2936
264_RNODE_3_length_4316	8632
264_RNODE_2_length_1467	2934
264_NODE_2_length_1149	2336
263_RNODE_1_length_1090	2180
266_RNODE_2_length_1617	3234
266_RNODE_1_length_3953	7906
266_RNODE_12_length_12414	24828
266_RNODE_11_length_1392	2784
266_RNODE_10_length_4912	9824
265_RNODE_5_length_4887	9774
266_NODE_2_length_3037	6174
288_RNODE_22_length_2297	4594
288_RNODE_12_length_2464	4928
288_RNODE_7_length_2368	4736
